电影链接,排名,电影名,上映年份,制片国家,类型,评分,评论数量,引言
https://movie.douban.com/subject/1295038/,38,哈利·波特与魔法石,2001,美国 英国,奇幻 冒险,9.1,784209,童话世界的开端。
https://movie.douban.com/subject/21937452/,39,素媛,2013,韩国,剧情,9.3,486662,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
https://movie.douban.com/subject/1291858/,40,鬼子来了,2000,中国大陆,剧情 喜剧,9.3,471837,对敌人的仁慈，就是对自己残忍。
https://movie.douban.com/subject/1308807/,41,哈尔的移动城堡,2004,日本,动画 奇幻 冒险,9.1,751832,带着心爱的人在天空飞翔。
https://movie.douban.com/subject/1291583/,42,天空之城,1986,日本,动画 奇幻 冒险,9.1,644734,对天空的追逐，永不停止。 
https://movie.douban.com/subject/1299398/,43,大话西游之月光宝盒,1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装,9.0,929820,旷古烁今。
https://movie.douban.com/subject/26752088/,44,我不是药神,2018,中国大陆,剧情 喜剧,9.0,1600140,对我们国家而言，这样的电影多一部是一部。
https://movie.douban.com/subject/1293839/,45,罗马假日,1953,美国,喜剧 剧情 爱情,9.0,745080,爱情哪怕只有一天。
https://movie.douban.com/subject/1298624/,46,闻香识女人,1992,美国,剧情,9.1,651936,史上最美的探戈。
https://movie.douban.com/subject/1291828/,47,天堂电影院,1988,意大利 法国,剧情 爱情,9.2,497581,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
https://movie.douban.com/subject/21937445/,48,辩护人,2013,韩国,剧情,9.2,467209,电影的现实意义大过电影本身。
https://movie.douban.com/subject/1292000/,49,搏击俱乐部,1999,美国 德国,剧情 动作 悬疑 惊悚,9.0,664127,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
https://movie.douban.com/subject/1418019/,50,大闹天宫,1961(中国大陆),1964(中国大陆),1978(中国大陆),9.3,305431,经典之作，历久弥新。
https://movie.douban.com/subject/1305487/,51,猫鼠游戏,2002,美国 加拿大,传记 犯罪 剧情,9.0,644071,骗子大师和执著警探的你追我跑故事。 
https://movie.douban.com/subject/1299131/,52,教父2,1974,美国,剧情 犯罪,9.2,398719,优雅的孤独。
https://movie.douban.com/subject/1301753/,53,狮子王,1994,美国,动画 冒险 歌舞,9.0,622324,动物版《哈姆雷特》。
https://movie.douban.com/subject/1291548/,54,死亡诗社,1989,美国,剧情,9.1,530138,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
https://movie.douban.com/subject/1291572/,55,指环王2：双塔奇兵,2002,美国 新西兰,剧情 动作 奇幻 冒险,9.1,527905,承前启后的史诗篇章。
https://movie.douban.com/subject/1296736/,56,钢琴家,2002,法国 德国 英国 波兰,剧情 传记 历史 战争 音乐,9.2,407135,音乐能化解仇恨。
https://movie.douban.com/subject/1291843/,57,黑客帝国,1999,美国 澳大利亚,动作 科幻,9.0,601970,视觉革命。
https://movie.douban.com/subject/1291571/,58,指环王1：魔戒再现,2001,新西兰 美国,剧情 动作 奇幻 冒险,9.0,593222,传说的开始。
https://movie.douban.com/subject/1900841/,59,窃听风暴,2006,德国,剧情 悬疑,9.1,433490,别样人生。
https://movie.douban.com/subject/1291818/,60,饮食男女,1994,中国台湾 美国,剧情 家庭,9.1,440067,人生不能像做菜，把所有的料都准备好了才下锅。
https://movie.douban.com/subject/1306029/,61,美丽心灵,2001,美国,传记 剧情,9.0,577687,爱是一切逻辑和原由。
https://movie.douban.com/subject/1293350/,62,两杆大烟枪,1998,英国,剧情 喜剧 犯罪,9.1,465570,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
https://movie.douban.com/subject/3742360/,63,让子弹飞,2010,中国大陆 中国香港,剧情 喜剧 动作 西部,8.8,1229842,你给我翻译翻译，神马叫做TMD的惊喜。
https://movie.douban.com/subject/27060077/,64,绿皮书,2018,美国,剧情 喜剧 传记,8.9,1174227,去除成见，需要勇气。
https://movie.douban.com/subject/1485260/,65,本杰明·巴顿奇事,2008,美国,剧情 爱情 奇幻,8.9,750068,在时间之河里感受溺水之苦。
https://movie.douban.com/subject/1292224/,66,飞越疯人院,1975,美国,剧情,9.1,450547,自由万岁。
https://movie.douban.com/subject/26580232/,67,看不见的客人,2016,西班牙,剧情 犯罪 悬疑 惊悚,8.8,906952,你以为你以为的就是你以为的。
https://movie.douban.com/subject/25958717/,68,海蒂和爷爷,2015,德国 瑞士 南非,剧情 冒险 家庭,9.2,320986,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。
https://movie.douban.com/subject/1292402/,69,西西里的美丽传说,2000,意大利 美国,剧情 战争 情色,8.9,744832,美丽无罪。
https://movie.douban.com/subject/1292849/,70,拯救大兵瑞恩,1998,美国,剧情 历史 战争,9.0,492465,美利坚精神输出大片No1.
https://movie.douban.com/subject/1303021/,71,小鞋子,1997,伊朗,剧情 儿童 家庭,9.2,307733,奔跑的孩子是天使。
https://movie.douban.com/subject/3008247/,72,穿条纹睡衣的男孩,2008,英国 美国,剧情 战争,9.1,383062,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
https://movie.douban.com/subject/1292220/,73,情书,1995,日本,剧情 爱情,8.9,688074,暗恋的极致。
https://movie.douban.com/subject/1294408/,74,音乐之声,1965,美国,剧情 传记 爱情 歌舞,9.0,455146,用音乐化解仇恨，让歌声串起美好。
https://movie.douban.com/subject/3442220/,75,海豚湾,2009,美国,纪录片,9.3,296805,海豚的微笑，是世界上最高明的伪装。
https://movie.douban.com/subject/1292262/,76,美国往事,1984,美国 意大利,犯罪 剧情,9.2,319221,往事如烟，无处祭奠。
https://movie.douban.com/subject/1780330/,77,致命魔术,2006,英国 美国,剧情 悬疑 惊悚,8.9,657261,孪生蝙蝠侠大战克隆金刚狼。
https://movie.douban.com/subject/1291832/,78,低俗小说,1994,美国,剧情 喜剧 犯罪,8.9,634699,故事的高级讲法。
https://movie.douban.com/subject/1293544/,79,沉默的羔羊,1991,美国,剧情 犯罪 惊悚,8.8,645879,安东尼·霍普金斯的顶级表演。
https://movie.douban.com/subject/1292343/,80,蝴蝶效应,2004,美国 加拿大,剧情 悬疑 科幻 惊悚,8.8,711192,人的命运被自己瞬间的抉择改变。
https://movie.douban.com/subject/2334904/,81,禁闭岛,2010,美国,剧情 悬疑 惊悚,8.8,717981,昔日翩翩少年，今日大腹便便。
https://movie.douban.com/subject/1292223/,82,七宗罪,1995,美国,剧情 犯罪 悬疑 惊悚,8.8,743201,警察抓小偷，老鼠玩死猫。
https://movie.douban.com/subject/1292656/,83,心灵捕手,1997,美国,剧情,8.9,534463,人生中应该拥有这样的一段豁然开朗。
https://movie.douban.com/subject/11525673/,84,布达佩斯大饭店,2014,美国 德国 英国,剧情 喜剧 冒险,8.8,674828,小清新的故事里注入了大历史的情怀。
https://movie.douban.com/subject/1292679/,85,春光乍泄,1997,中国香港 日本 韩国,剧情 爱情 同性,8.9,477169,爱情纠缠，男女一致。
https://movie.douban.com/subject/1787291/,86,被嫌弃的松子的一生,2006,日本,剧情 歌舞,8.9,566389,以戏谑来戏谑戏谑。
